id,location,device,timestamp,state,dimmer,accActiveEnergy,accReactiveEnergy,uRms,iRms,activePotency,reactivePotency,potencyFactor,luminosityLux,temperature
1,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704751249000,0,100,17898466,4585384,22516,23,0,0,140,18300,35
2,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704914640000,1,100,17907226,4586661,22442,649,145,-21,989,0,41
3,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704918241000,1,100,17921644,4588813,22564,647,145,-21,989,0,40
4,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704921842000,1,100,17936112,4591007,22564,648,145,-22,988,0,38
5,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704925442000,1,100,17950563,4593223,22717,644,145,-22,988,0,39
6,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704929043000,1,100,17964999,4595454,22803,642,145,-22,987,0,40
7,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704932644000,1,100,17979428,4597683,22707,642,145,-22,990,0,40
8,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704936244000,1,100,17993850,4599920,22793,641,145,-22,988,0,41
9,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704939843000,1,100,18008259,4602157,22677,643,145,-22,987,4400,41
10,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704943444000,1,100,18022653,4604405,22761,642,145,-22,986,0,41
11,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704947044000,1,100,18037064,4606629,22714,641,145,-22,989,0,41
12,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704950646000,1,100,18051464,4608845,22775,641,145,-22,988,2500,40
13,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704954246000,0,100,18054176,4609258,22612,24,0,0,128,89200,37
14,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704957846000,0,100,18054240,4609258,22576,24,0,0,126,177000,36
15,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704961447000,0,100,18054303,4609258,22438,24,0,0,121,358900,45
16,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704965049000,0,100,18054366,4609258,22365,24,0,0,138,220100,48
17,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704968648000,0,100,18054429,4609258,22509,24,0,0,110,570800,52
18,LOCATION 4,ANOMALO::0:zrhybacdev:cadjw3wmgc,1704972249000,0,100,18054491,4609258,22591,29,1,-1,184,168500,51
